"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0005751","155.5028199","66.69870851","125880077.3"
"a0005786","114.9694929","0.305220251","138140061.4"
"a0005797","267.1542347","58.29007809","15973955.43"
"a0005806","21.91772779","-41.67102326","260505555.9"
"a0005817","5.785567792","-30.85545751","168475674.0"
"a0005828","106.9851982","-7.079910112","223184487.0"
"a0005836","98.0762467","-23.41865678","302181087.7"
"a0005841","39.0034956","-49.57717584","265084076.2"
"a0005863","101.9009584","-6.664497281","307761167.6"
"a0005867","85.64873391","-12.5071374","327537337.6"
"a0005869","249.8205714","-31.70081261","56457592.53"
"a0005870","246.4025475","-66.41201773","175043602.5"
"a0005871","47.87366891","-45.60918072","285618777.7"
"a0005879","172.2634159","57.13816006","109289574.1"
"a0005892","300.8938225","-31.52091867","119523318.2"
"a0005899","102.3397938","-80.51067012","261208210.8"
"a0005905","97.97888108","-51.1376098","353340571.7"
"a0005929","285.4604368","-87.64619505","215570287.0"
"a0005967","108.4511199","22.99905301","386594021.7"
"a0005968","180.4812057","50.28227351","250073708.2"
"a0005999","25.06562382","83.16204337","164297060.7"
"a0006029","216.3346709","86.53188773","197016869.2"
"a0006037","91.98646231","-45.2410092","93796341.04"
"a0006041","99.58623997","-17.36312378","387856412.9"
"a0006042","84.60959883","-68.09480595","281952317.4"
"a0006047","52.23234222","37.59688831","60418593.12"
"a0006050","82.05333409","-56.23684011","235880135.9"
"a0006053","58.79399842","-39.46459017","175623505.1"
"a0006063","125.6933965","17.02627764","105711753.4"
"a0006087","119.2535811","42.88857941","327910449.6"
"a0006107","110.8382143","48.35503085","301635989.8"
"a0006130","99.89301411","-34.14669768","324537560.9"
"a0006141","344.2675926","-37.23011088","134619831.8"
"a0006163","66.25975652","-46.44859408","319618347.0"
"a0006170","337.7011592","51.23585444","124599553.9"
"a0006172","6.548530234","-68.01818918","169794251.1"
"a0006178","132.7981934","36.7739894","228131752.5"
"a0006183","34.92948105","-45.99921352","243171705.2"
"a0006239","122.612805","10.75271154","217473673.4"
"a0006249","53.8824193","-48.64263409","279741205.1"
"a0006250","180.7042273","41.65890231","246775879.9"
"a0006261","250.6757524","-20.37186673","104875988.5"
"a0006263","92.13533835","-39.32919311","356685878.7"
"a0006271","118.5419302","-3.995433717","423120288.8"
"a0006296","245.7826425","85.46151637","190761304.6"
"a0006310","309.5779349","13.44876689","133883960.6"
"a0006318","335.0813395","-34.92809983","84382931.36"
"a0006322","219.4845714","0.138133355","96275961.17"
"a0006382","154.7233637","47.63025128","273283387.4"
"a0006384","114.7574902","-50.77047872","359640407.7"
"a0006386","56.94342627","-70.10859942","245030944.9"
"a0006394","85.92894091","-52.33827904","339506056.7"
"a0006411","247.2796982","-62.97997705","165955774.6"
"a0006435","186.533497","62.36471204","222207991.8"
"a0006444","80.08198953","-57.48493246","286773525.9"
"a0006446","279.8339988","-84.17406373","204977943.7"
"a0006447","36.6383314","-55.9191265","268979112.6"
"a0006455","127.2132357","-19.00225114","275213857.3"
"a0006456","107.1755679","-19.15482661","336734097.1"
"a0006461","271.6230752","-70.63257873","195891880.6"
"a0006485","42.86122672","-53.46277933","252955489.0"
"a0006487","99.59217836","-2.304776203","385898324.7"
"a0006489","111.1111375","-6.759217895","294507872.7"
"a0006490","96.35118475","-24.22465947","369187619.1"
"a0006491","116.4040202","-2.440109931","296546945.7"
"a0006493","93.66791015","-75.84798015","288046023.2"
"a0006500","246.7657274","-51.00470917","149102363.0"
